cell	method	threshold	true_scenario	replicates	total_proteins	selected_proteins	mean_replicate_selection_rate	pooled_selection_rate
balanced_heterogeneity	balanced_BY	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_BY	0.05	M1	200	9852	1	9.09091e-05	0.000101502
balanced_heterogeneity	balanced_BY	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_BY	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_BY	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_BY	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_BY	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_BY	0.1	M1	200	9852	5	0.000474838	0.000507511
balanced_heterogeneity	balanced_BY	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_BY	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_BY	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_BY	0.1	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_eBH	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_eBH	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_eBH	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_eBH	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_eBH	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_eBH	0.01	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_eBH	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_eBH	0.05	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_eBH	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_eBH	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_eBH	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_eBH	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_eBH	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_eBH	0.1	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_eBH	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_eBH	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_eBH	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_eBH	0.1	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.01	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.05	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.1	M1	200	9852	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	balanced_p2e_eBH	0.1	M5	200	13966	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	M5	200	13966	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	M1	200	9852	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	bayesian_FDR	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	bayesian_FDR	0.1	M1	200	9852	6	0.000686981	0.000609013
balanced_heterogeneity	bayesian_FDR	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	bayesian_FDR	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	bayesian_FDR	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	bayesian_FDR	0.1	M5	200	13966	0	0	0
balanced_heterogeneity	directional_BY	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	directional_BY	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	directional_BY	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	directional_BY	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	directional_BY	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	directional_BY	0.01	M5	200	13966	0	0	0
balanced_heterogeneity	directional_BY	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	directional_BY	0.05	M1	200	9852	0	0	0
balanced_heterogeneity	directional_BY	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	directional_BY	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	directional_BY	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	directional_BY	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	directional_BY	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	directional_BY	0.1	M1	200	9852	0	0	0
balanced_heterogeneity	directional_BY	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	directional_BY	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	directional_BY	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	directional_BY	0.1	M5	200	13966	0	0	0
balanced_heterogeneity	directional_eBH	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	directional_eBH	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	directional_eBH	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	directional_eBH	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	directional_eBH	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	directional_eBH	0.01	M5	200	13966	0	0	0
balanced_heterogeneity	directional_eBH	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	directional_eBH	0.05	M1	200	9852	0	0	0
balanced_heterogeneity	directional_eBH	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	directional_eBH	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	directional_eBH	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	directional_eBH	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	directional_eBH	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	directional_eBH	0.1	M1	200	9852	0	0	0
balanced_heterogeneity	directional_eBH	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	directional_eBH	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	directional_eBH	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	directional_eBH	0.1	M5	200	13966	0	0	0
broad_balanced	adaptive_eBH	0.01	M0	200	45095	0	0	0
broad_balanced	adaptive_eBH	0.01	M1	200	10005	1	0.000108696	9.995e-05
broad_balanced	adaptive_eBH	0.01	M2	200	11887	0	0	0
broad_balanced	adaptive_eBH	0.01	M3	200	8012	0	0	0
broad_balanced	adaptive_eBH	0.01	M4	200	11044	0	0	0
broad_balanced	adaptive_eBH	0.01	M5	200	13957	0	0	0
broad_balanced	adaptive_eBH	0.05	M0	200	45095	0	0	0
broad_balanced	adaptive_eBH	0.05	M1	200	10005	7	0.000640899	0.00069965
broad_balanced	adaptive_eBH	0.05	M2	200	11887	0	0	0
broad_balanced	adaptive_eBH	0.05	M3	200	8012	0	0	0
broad_balanced	adaptive_eBH	0.05	M4	200	11044	0	0	0
broad_balanced	adaptive_eBH	0.05	M5	200	13957	0	0	0
broad_balanced	adaptive_eBH	0.1	M0	200	45095	0	0	0
broad_balanced	adaptive_eBH	0.1	M1	200	10005	13	0.00118304	0.00129935
broad_balanced	adaptive_eBH	0.1	M2	200	11887	0	0	0
broad_balanced	adaptive_eBH	0.1	M3	200	8012	0	0	0
broad_balanced	adaptive_eBH	0.1	M4	200	11044	0	0	0
broad_balanced	adaptive_eBH	0.1	M5	200	13957	0	0	0
broad_balanced	balanced_AdaFilter	0.01	M0	200	45095	0	0	0
broad_balanced	balanced_AdaFilter	0.01	M1	200	10005	8385	0.835334	0.838081
broad_balanced	balanced_AdaFilter	0.01	M2	200	11887	20	0.00174077	0.00168251
broad_balanced	balanced_AdaFilter	0.01	M3	200	8012	0	0	0
broad_balanced	balanced_AdaFilter	0.01	M4	200	11044	24	0.00216791	0.00217313
broad_balanced	balanced_AdaFilter	0.01	M5	200	13957	20	0.00139607	0.00143297
broad_balanced	balanced_AdaFilter	0.05	M0	200	45095	0	0	0
broad_balanced	balanced_AdaFilter	0.05	M1	200	10005	9739	0.973036	0.973413
broad_balanced	balanced_AdaFilter	0.05	M2	200	11887	114	0.00966694	0.00959031
broad_balanced	balanced_AdaFilter	0.05	M3	200	8012	0	0	0
broad_balanced	balanced_AdaFilter	0.05	M4	200	11044	134	0.0117904	0.0121333
broad_balanced	balanced_AdaFilter	0.05	M5	200	13957	142	0.0101561	0.0101741
broad_balanced	balanced_AdaFilter	0.1	M0	200	45095	0	0	0
broad_balanced	balanced_AdaFilter	0.1	M1	200	10005	9910	0.990417	0.990505
broad_balanced	balanced_AdaFilter	0.1	M2	200	11887	262	0.0221485	0.0220409
broad_balanced	balanced_AdaFilter	0.1	M3	200	8012	0	0	0
broad_balanced	balanced_AdaFilter	0.1	M4	200	11044	271	0.0242795	0.0245382
broad_balanced	balanced_AdaFilter	0.1	M5	200	13957	310	0.0221142	0.0222111
broad_balanced	balanced_BY	0.01	M0	200	45095	0	0	0
broad_balanced	balanced_BY	0.01	M1	200	10005	3520	0.345901	0.351824
